program_name,recipients,description,uses,website,program_short_name
Highway Safety Programs,"states, territories, and tribal nations ","help reduce motor vehicle crashes, injuries, and fatalities","the uses specified in an approved highway safety plan identifying problems, performance measures, and countermeasures",https://safety.fhwa.dot.gov/legislationandpolicy/policy/section402/,nhtsa
Grants for Buses and Bus Facilities Program,"states, counties, cities, townships, special districts, and federally recognized tribal governments ","improve buses, bus-related equipment, and bus-related facilities","replacing, rehabilitating, purchasing, or leasing buses, equipment, and facilities",https://www.transit.dot.gov/bus-program,buses
All Stations Accessibility Program (ASAP),"states, local governments, and special districts",assist in the financing of updating legacy railway stations,"capital projects to repair, improve, modify, retrofit, or relocate the infrastructure of stations or facilities for passenger use",https://www.transit.dot.gov/ASAP,asap
Rail Vehicle Replacement Program grants,"states, local governments, and special districts",replace rail rolling stock,"financing revenue service, passenger carrying vehicles, or propulsion vehicles necessary for the provision of rail public transportation",https://www.transit.dot.gov/grant-programs/rail-vehicle-replacement-grants,fta_rail_vehicle
Appalachian Development Highway System,the 13 states that have counties in the Appalachian Region,build the Appalachian Development Highway System ,,https://www.fhwa.dot.gov/specialfunding/adhs/,fhwa_app
Railway-Highway Crossing Program,states ,"reduce the number of fatalities, injuries, and crashes at public railway-highway grade crossings",,https://highways.dot.gov/safety/hsip/xings/railway-highway-crossing-program-overview,fhwa_railway
Natural Gas Distribution Infrastructure Safety and Modernization Grant Program,municipal or community-owned utilities ,modernize municipally owned and community-owned natural gas distribution pipes,"repairing, rehabilitating, or replacing natural gas distribution pipeline systems or acquiring equipment to reduce incidents and fatalities and to avoid economic loss",https://www.phmsa.dot.gov/about-phmsa/working-phmsa/grants/pipeline/natural-gas-distribution-infrastructure-safety-and-modernization-grants ,natural_gas
Reconnecting Communities and Neighborhoods (RCN) Program,"states, local governments, tribal governments, metropolitan planning organizations, and nonprofit organizations",address barriers to community connectivity created by highways and other transportation facilities. This program combines funding from the Reconnecting Communities Pilot (RCP) Program and the Neighborhood Access and Equity (NAE) program,"capital construction projects, including the planning, removal, and replacement of eligible facilities", https://www.transportation.gov/reconnecting,reconnect_community
Drinking Water State Revolving Fund for lead service line replacement,"states, water utilities, municipal entities, tribal governments, and territories",improve drinking water,"lead service line replacement and related activities around identification, planning, design, and removal",https://www.epa.gov/ground-water-and-drinking-water/funding-lead-service-line-replacement,dwsrf_lead_combined
Clean Water State Revolving Fund,"states, water utilities, municipal entities, tribal governments, and territories",provide communities low-cost financing for a wide range of water quality infrastructure projects ,"construction, repair, or replacement of wastewater and stormwater treatment facilities and collection systems; pollution management; construction of nature-based infrastructure solutions; and other uses associated with the management of wastewater and stormwater",https://www.epa.gov/cwsrf,cwsrf_general_combined
Drinking Water State Revolving Fund,"states, water utilities, municipal entities, tribal governments, and territories",help water systems and states achieve the health protection objectives of the Safe Drinking Water Act,"projects that address the most serious risks to human health, ensure compliance with the requirements of the Safe Drinking Water Act, and assist systems most in need on a per household basis according to affordability criteria",https://www.epa.gov/dwsrf,dwsrf_general_combined
Clean School Bus Program,"states, local governments, tribal governments, contractors, and nonprofit school transportation associations",replace existing school buses with zero-emission and low-emission models in the form of rebates and grants,"zero-emission school buses and alternative fuels, with priority for rural or low-income communities. The data displayed here includes only rebates for 2022 and only grants for 2023. Rebates for 2023 were announced too close to publication to include.",https://www.epa.gov/cleanschoolbus,clean_school_bus
Drinking Water State Revolving Fund emerging contaminants,"states, water utilities, municipal entities, tribal governments, and territories",address emerging drinking water contaminants,"drinking water infrastructure projects to address emerging contaminants, including per- and polyfluoroalkyl substances (PFAS)  ",https://www.epa.gov/sites/default/files/2019-03/documents/pfas_fact_sheet_and_case_studies_final.pdf,dwsrf_emerging_combined
Clean Water State Revolving Fund supplemental appropriation for emerging contaminants,"states, water utilities, municipal entities, tribal governments, and territories",address emerging drinking water contaminants,"clean water infrastructure projects to address emerging contaminants, including per- and polyfluoroalkyl substances (PFAS) ",https://www.epa.gov/cwsrf/clean-water-state-revolving-fund-emerging-contaminants,cwsrf_emerging_combined
"Federal Transit Administration Metropolitan, Statewide, and Non-Metropolitan Planning",states,create long-range plans and short-range programs of transportation investment priorities,,https://www.transit.dot.gov/funding/grants/fact-sheet-metropolitan-statewide-non-metropolitan-planning,fta_5305_combined
State Safety Oversight Program,states,oversee safety at rail transit systems,,https://www.transit.dot.gov/state-safety-oversight,fta_5329_e
